입력 문장,도수,술 종류,맛,tokens
"중간 도수의 보드카를 추천해주세요, 비터한으로!오늘은 중간 도수의 비터한 보드카를 마셔야겠어.보드카를 마시고 싶어요. 비터한이고 도수는 중간가 좋아요.비터한 보드카 한 잔 어때? 도수는 중간로!가볍게 마실 수 있는 중간 도수의 비터한 보드카를 찾고 있어요.중간 도수의 보드카 중에 비터한인 걸 추천해주세요.친구랑 마실 비터한 보드카, 중간 도수로 부탁해요.도수 중간인 비터한 보드카를 마셔보고 싶은 기분이에요.비터한 보드카가 필요해요. 도수는 중간가 좋겠어요.오늘의 추천 보드카는 중간 도수의 비터한 걸로 해주세요.비터한 보드카 중에서 도수가 중간인 게 궁금하네요.중간 도수로 마실 만한 비터한 보드카, 알려줘.요즘 중간 도수의 비터한 보드카에 빠졌어요.도수가 중간이고 비터한 보드카, 괜찮을까요?비터한 보드카가 끌리는데, 도수는 중간로 골라줘.중간 도수의 비터한 보드카 한 잔 생각나네요.보드카 추천해줘! 비터한이고 도수는 중간로.",중간,보드카,쓴맛,"['ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄉ', '##ᅦ', '##ᄋ', '##ᅭ', ',', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅳ', '##ᄅ', '##ᅩ', '!', 'ᄋ', '##ᅩ', '##ᄂ', '##ᅳ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', '[UNK]', '.', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᄀ', '##ᅩ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄀ', '##ᅡ', '[UNK]', '.', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', 'ᄒ', '##ᅡ', '##ᆫ', 'ᄌ', '##ᅡ', '##ᆫ', '[UNK]', '?', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄅ', '##ᅩ', '!', 'ᄀ', '##ᅡ', '##ᄇ', '##ᅧ', '##ᆸ', '##ᄀ', '##ᅦ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᆯ', 'ᄉ', '##ᅮ', '[UNK]', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', '[UNK]', '[UNK]', '.', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᆫ', 'ᄀ', '##ᅥ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄉ', '##ᅦ', '##ᄋ', '##ᅭ', '.', 'ᄎ', '##ᅵ', '##ᆫ', '##ᄀ', '##ᅮ', '##ᄅ', '##ᅡ', '##ᆼ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᆯ', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', ',', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄅ', '##ᅩ', 'ᄇ', '##ᅮ', '##ᄐ', '##ᅡ', '##ᆨ', '##ᄒ', '##ᅢ', '##ᄋ', '##ᅭ', '.', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᆫ', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅧ', '##ᄇ', '##ᅩ', '##ᄀ', '##ᅩ', '[UNK]', 'ᄀ', '##ᅵ', '##ᄇ', '##ᅮ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᄋ', '##ᅦ', '##ᄋ', '##ᅭ', '.', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄀ', '##ᅡ', 'ᄑ', '##ᅵ', '##ᆯ', '##ᄋ', '##ᅭ', '##ᄒ', '##ᅢ', '##ᄋ', '##ᅭ', '.', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄀ', '##ᅡ', '[UNK]', '.', 'ᄋ', '##ᅩ', '##ᄂ', '##ᅳ', '##ᆯ', '##ᄋ', '##ᅴ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄀ', '##ᅥ', '##ᆯ', '##ᄅ', '##ᅩ', 'ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᄉ', '##ᅦ', '##ᄋ', '##ᅭ', '.', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄋ', '##ᅦ', '##ᄉ', '##ᅥ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᆫ', 'ᄀ', '##ᅦ', 'ᄀ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅳ', '##ᆷ', '##ᄒ', '##ᅡ', '##ᄂ', '##ᅦ', '##ᄋ', '##ᅭ', '.', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄅ', '##ᅩ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᆫ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', ',', 'ᄋ', '##ᅡ', '##ᆯ', '##ᄅ', '##ᅧ', '##ᄌ', '##ᅯ', '.', 'ᄋ', '##ᅭ', '##ᄌ', '##ᅳ', '##ᆷ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄋ', '##ᅦ', '[UNK]', '.', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᄀ', '##ᅩ', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', ',', '[UNK]', '?', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄀ', '##ᅡ', '[UNK]', ',', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄅ', '##ᅩ', 'ᄀ', '##ᅩ', '##ᆯ', '##ᄅ', '##ᅡ', '##ᄌ', '##ᅯ', '.', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', 'ᄒ', '##ᅡ', '##ᆫ', 'ᄌ', '##ᅡ', '##ᆫ', 'ᄉ', '##ᅢ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆨ', '##ᄂ', '##ᅡ', '##ᄂ', '##ᅦ', '##ᄋ', '##ᅭ', '.', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '!', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᄀ', '##ᅩ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄅ', '##ᅩ', '.']"
도수가 낮은인 술을 추천해줘.,낮은,알 수 없음,신맛,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
신맛 보드카를 추천해줘.,알 수 없음,보드카,신맛,"['[UNK]', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
럼 추천해줄래?,알 수 없음,럼,신맛,"['ᄅ', '##ᅥ', '##ᆷ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅮ', '##ᆯ', '##ᄅ', '##ᅢ', '?']"
"오늘 톡 쏘는 위스키를 마시고 싶어, 도수는 낮은로.",낮은,위스키,신맛,"['ᄋ', '##ᅩ', '##ᄂ', '##ᅳ', '##ᆯ', 'ᄐ', '##ᅩ', '##ᆨ', 'ᄊ', '##ᅩ', '##ᄂ', '##ᅳ', '##ᆫ', '[UNK]', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', ',', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄂ', '##ᅳ', '##ᆫ', '[UNK]', '.']"
"오늘 비터한 보드카를 마시고 싶어, 도수는 중간로.",중간,보드카,쓴맛,"['ᄋ', '##ᅩ', '##ᄂ', '##ᅳ', '##ᆯ', 'ᄇ', '##ᅵ', '##ᄐ', '##ᅥ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', ',', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄂ', '##ᅳ', '##ᆫ', 'ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', '##ᄅ', '##ᅩ', '.']"
도수가 높은인 술을 추천해줘.,높은,알 수 없음,쓴맛,"['ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄀ', '##ᅡ', '[UNK]', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅢ', '##ᄌ', '##ᅯ', '.']"
중간 도수의 칵테일를 마시고 싶어.,중간,칵테일,알 수 없음,"['ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄅ', '##ᅳ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᄀ', '##ᅩ', '[UNK]', '.']"
"마실 칵테일를 찾고 있어요. 톡 쏘는이고, 낮은 도수면 좋겠어요.",낮은,칵테일,신맛,"['ᄆ', '##ᅡ', '##ᄉ', '##ᅵ', '##ᆯ', 'ᄏ', '##ᅡ', '##ᆨ', '##ᄐ', '##ᅦ', '##ᄋ', '##ᅵ', '##ᆯ', '##ᄅ', '##ᅳ', '##ᆯ', '[UNK]', '[UNK]', '.', 'ᄐ', '##ᅩ', '##ᆨ', 'ᄊ', '##ᅩ', '##ᄂ', '##ᅳ', '##ᆫ', '##ᄋ', '##ᅵ', '##ᄀ', '##ᅩ', ',', '[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄆ', '##ᅧ', '##ᆫ', '[UNK]', '.']"
낮은 도수의 술을 찾고 있어.,낮은,알 수 없음,부드러운,"['[UNK]', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', 'ᄉ', '##ᅮ', '##ᆯ', '##ᄋ', '##ᅳ', '##ᆯ', '[UNK]', '[UNK]', '.']"
"중간 도수의 매끄러운 보드카, 추천할 만한 거 있어?",중간,보드카,부드러운,"['ᄌ', '##ᅮ', '##ᆼ', '##ᄀ', '##ᅡ', '##ᆫ', 'ᄃ', '##ᅩ', '##ᄉ', '##ᅮ', '##ᄋ', '##ᅴ', '[UNK]', 'ᄇ', '##ᅩ', '##ᄃ', '##ᅳ', '##ᄏ', '##ᅡ', ',', 'ᄎ', '##ᅮ', '##ᄎ', '##ᅥ', '##ᆫ', '##ᄒ', '##ᅡ', '##ᆯ', 'ᄆ', '##ᅡ', '##ᆫ', '##ᄒ', '##ᅡ', '##ᆫ', 'ᄀ', '##ᅥ', '[UNK]', '?']"
